"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Филиал,РЭС,Комментарий,Id здания,Координаты,Время начала отключения,Время восстановления отключения,Код района,Код РЭС,Период отключения(в часах)
Ленинградская область,Волховский район,Колчаново,Клубная,Новоладожские ЭС,Волховский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Волх,Волх,8
Ленинградская область,Волховский район,"Песчаный карьер (Кисельня),  д. Селивёрстово",,Новоладожские ЭС,Волховский РЭС,,,,2023-09-21 09:00:00,2023-09-21 18:00:00,Волх,Волх,9
Ленинградская область,Выборгский район (ЛО),"п Симагино,  п Подгорное ","Лен ВО Подсобное хозяйство Птичник,  СНТ Надежда-3,   СНТ Сабур Лесное,  ур.Славино,  СНТ Нива,  СНТ Подгорное,  индивидуальные застройщики ",Выборгские ЭС,Рощинский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Выбо (ЛО),Рощи,8
Ленинградская область,Выборгский район (ЛО),"п Симагино,  п Подгорное ","Лен ВО Подсобное хозяйство Птичник,  СНТ Надежда-3,   СНТ Сабур Лесное,  ур.Славино,  СНТ Нива,  СНТ Подгорное,  индивидуальные застройщики ",Выборгские ЭС,Рощинский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Выбо (ЛО),Рощи,8
Ленинградская область,Кировский район (ЛО),д.Кобона,,Новоладожские ЭС,Волховский РЭС,Работы для улучшения качества и надежности электроснабжения потребителей ,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Киро,Волх,8
Ленинградская область,Подпорожский район,Важины,"Зеленая,  Механизаторов",Новоладожские ЭС,Лодейнопольский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Подп,Лоде,8
Ленинградская область,Лужский район,Пустынь,,Кингисеппские ЭС,Лужский РЭС,,,,2023-09-21 08:00:00,2023-09-22 17:00:00,Лужс,Лужс,9
Ленинградская область,Бокситогорский район,д.Забелье Ефимовское с/п,,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-21 06:00:00,2023-09-21 18:00:00,Бокс,Бокс,12
Ленинградская область,Бокситогорский район,"д. Новинка,  д.Логиново,  д. Курята д.Толсть , д.Бирючево, д.Коргорка, д.Дубровка, д.Забелино, д.Маклаково, д.Селище",д.Климово пилорамы,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-21 04:00:00,2023-09-21 17:00:00,Бокс,Бокс,13
Ленинградская область,Подпорожский район,Красный Бор,,Новоладожские ЭС,Лодейнопольский РЭС,,,,2023-09-20 16:00:00,2023-09-20 19:00:00,Подп,Лоде,3
Ленинградская область,Ломоносовский район,"д. Гостилицы         д. Петровское СНТ ""Заозерное""  д. Порожки",,Гатчинские ЭС,Ломоносовский РЭС,аварийное отключение,,,2023-09-20 15:29:00,2023-09-20 22:00:00,Ломо,Ломо,6
Санкт-Петербург,Колпинский район,п. Шушары,Пром. зона Шушары,Южные электрические сети,Колпинский РЭС,,,,2023-09-20 14:00:00,2023-09-20 17:00:00,Колп,Колп,3
Ленинградская область,Выборгский район (ЛО),п.Большое Поле,частично,Выборгские ЭС,Выборгский РЭС,,,,2023-09-20 13:00:00,2023-09-20 16:00:00,Выбо (ЛО),Выбо,3
Ленинградская область,Ломоносовский район,"д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.",,Южные электрические сети,Красносельский РЭС,,,,2023-09-20 12:00:00,2023-09-20 17:00:00,Ломо,Крас,5
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Лиговский пр. д.138 л.А; д.140 л.А; д.144 л.А,Кабельная сеть,Южный РЭС,,,,2023-09-20 11:00:00,2023-09-20 14:00:00,Фрун,Южны,3
Ленинградская область,Ломоносовский район,"Райкузи,  Иннолово","ул. Садовая,  ул,  Посадская,  Заречная ",Южные электрические сети,Красносельский РЭС,"ТП-5840, ТП-6396",,,2023-09-20 10:00:00,2023-09-20 18:00:00,Ломо,Крас,8
Ленинградская область,Тихвинский район,д. Паголда ТП 143-22-20 (Паголда-котеджи) ,,Тихвинские ЭС,Тихвинский РЭС,Планируемое время отключения не более 5 часов в указанный период времени,,,2023-09-20 10:00:00,2023-09-20 17:00:00,Тихв,Тихв,7
Ленинградская область,Ломоносовский район,д.Лаголово,,Южные электрические сети,Красносельский РЭС,"ТП-6064, ТП-6491",,,2023-09-20 10:00:00,2023-09-20 17:00:00,Ломо,Крас,7
